league,year,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_coef,ppda_att,ppda_def,oppda_coef,oppda_att,oppda_def,team,xG_diff,xGA_diff,xpts_diff
Bundesliga,2018,a,0.134891,2.60771,0.134891,2.60771,1,12,0,1,0.08600000000000001,l,2019-04-20 14:30:00,0,0,1,0,-2.472819,27.846153846153847,362,13,7.15,143,20,Werder Bremen,0.134891,1.60771,0.08600000000000001
Bundesliga,2018,a,2.73602,2.06935,1.97824,2.06935,16,6,1,4,1.8758,l,2019-04-27 14:30:00,0,0,1,0,-0.09111000000000002,12.954545454545455,285,22,20.923076923076923,272,13,Werder Bremen,1.73602,-1.93065,1.8758
Bundesliga,2018,h,0.642264,2.6708,0.642264,2.6708,9,8,2,2,0.25970000000000004,d,2019-05-04 17:30:00,0,1,0,1,-2.028536,7.7560975609756095,318,41,18.066666666666666,271,15,Werder Bremen,-1.357736,0.6707999999999998,-0.7403
Bundesliga,2018,a,0.931751,1.80986,0.931751,1.80986,7,8,1,0,0.7396,w,2019-05-11 14:30:00,1,0,0,3,-0.878109,16.210526315789473,308,19,3.9,117,30,Werder Bremen,-0.068249,1.80986,-2.2603999999999997
Bundesliga,2018,h,1.20038,1.84544,0.442601,1.08775,4,5,2,1,0.7799,w,2019-05-18 13:30:00,1,0,0,3,-0.645149,10.36,259,25,11.416666666666666,274,24,Werder Bremen,-0.79962,0.84544,-2.2201
Bundesliga,2018,a,1.86154,1.31029,1.10376,1.31029,3,6,1,2,1.8368,l,2018-08-25 16:30:00,0,0,1,0,-0.20652999999999988,9.961538461538462,259,26,5.75,161,28,Schalke 04,0.86154,-0.68971,1.8368
Bundesliga,2018,h,1.59561,0.566284,0.837837,0.566284,9,3,0,2,2.2488,l,2018-09-02 16:00:00,0,0,1,0,0.27155300000000004,7.875,189,24,10.75,258,24,Schalke 04,1.59561,-1.433716,2.2488
Bundesliga,2018,a,0.729351,1.4002,0.729351,1.4002,8,4,1,2,0.7934,l,2018-09-15 16:30:00,0,0,1,0,-0.6708489999999999,14.055555555555555,253,18,12.789473684210526,243,19,Schalke 04,-0.27064900000000003,-0.5998000000000001,0.7934
Bundesliga,2018,h,0.358342,2.58882,0.358342,1.83112,1,7,0,2,0.11869999999999999,l,2018-09-22 16:30:00,0,0,1,0,-1.4727780000000001,17.20689655172414,499,29,7.190476190476191,151,21,Schalke 04,0.358342,0.5888200000000001,0.11869999999999999
Bundesliga,2018,a,0.928266,1.38048,0.928266,1.38048,3,5,0,1,0.9727999999999999,l,2018-09-25 18:30:00,0,0,1,0,-0.4522139999999999,7.409090909090909,163,22,9.041666666666666,217,24,Schalke 04,0.928266,0.38047999999999993,0.9727999999999999
